fecha,codigo,facultad,area,materia,seccion,horario,dias,evaluacion,tipo,inscritos,examinados,modalidad
2022-03-17,EPRO-AC,Facultad de Ciencias Sociales,ANTROPOLOGIA,ÉTICA,08,17:00-18:30,Ma-Jue,SEGUNDA,ORDINARIA,127,126,EN LINEA
2022-03-17,ETS4-T,Facultad de Informática y Ciencias Aplicadas,INFORMATICA,DESARROLLO DE REDES DE DATOS IV,01,17:00-18:30,Ma-Jue,SEGUNDA,ORDINARIA,45,42,EN LINEA
2022-03-17,ING2-H,Facultad de Ciencias Sociales,IDIOMAS,INGLÉS II,08,17:00-18:30,Ma-Jue,SEGUNDA,ORDINARIA,115,107,EN LINEA
2022-03-17,PROO-H,Facultad de Ciencias Sociales,COMUNICACIONES,PROTOCOLO Y ORATORIA,01,17:00-18:30,Ma-Jue,SEGUNDA,ORDINARIA,91,88,EN LINEA
2022-03-17,IED2-D,Facultad de Derecho,DERECHO,INTRODUCCIÓN AL ESTUDIO DEL DERECHO II,02,17:00-18:30,Ma-Jue,SEGUNDA,ORDINARIA,75,72,EN LINEA
2022-03-17,DEL1-D,Facultad de Derecho,DERECHO,DERECHO LABORAL I,01,17:00-18:30,Ma-Jue,SEGUNDA,ORDINARIA,90,86,EN LINEA
2022-03-17,SEIM-DG,Facultad de Informática y Ciencias Aplicadas,CIENCIAS APLICADAS AREA ARQUITECTURA,SEMIÓTICA DE LA IMAGEN,01,17:00-18:30,Ma-Jue,SEGUNDA,ORDINARIA,51,49,EN LINEA
2022-03-17,IED-D,Facultad de Derecho,DERECHO,INTRODUCCIÓN AL ESTUDIO DEL DERECHO I,02,17:00-18:30,Ma-Jue,SEGUNDA,ORDINARIA,124,117,EN LINEA
2022-03-17,MAT1-T,Facultad de Informática y Ciencias Aplicadas,CIENCIAS APLICADAS AREA INDUSTRIAL Y MATEMATICAS,MATEMÁTICA I,05,09:30-11:00,Ma-Jue,SEGUNDA,ORDINARIA,91,89,EN LINEA
2022-03-17,RED1-E,Facultad de Informática y Ciencias Aplicadas,INFORMATICA,REDES DE DATOS I,02,17:00-18:30,Ma-Jue,SEGUNDA,ORDINARIA,59,58,EN LINEA
2022-03-17,CYP-D,Facultad de Derecho,DERECHO,CRIMINOLOGÍA Y LEY PENITENCIARIA,01,17:00-18:30,Ma-Jue,SEGUNDA,ORDINARIA,42,41,EN LINEA
2022-03-17,PSO2-H,Facultad de Ciencias Sociales,PSICOLOGIA,PSICOLOGÍA ORGANIZACIONAL II,01,17:00-18:30,Ma-Jue,SEGUNDA,ORDINARIA,72,72,EN LINEA
2022-03-17,INF1-I,Facultad de Informática y Ciencias Aplicadas,INFORMATICA,INFORMÁTICA,05,09:30-11:00,Ma-Jue,SEGUNDA,ORDINARIA,79,68,EN LINEA
2022-03-17,INF1-I,Facultad de Informática y Ciencias Aplicadas,INFORMATICA,INFORMÁTICA,10,17:00-18:30,Ma-Jue,SEGUNDA,ORDINARIA,78,73,EN LINEA
2022-03-17,FEPI-I,Facultad de Informática y Ciencias Aplicadas,CIENCIAS APLICADAS AREA INDUSTRIAL Y MATEMATICAS,FORMULACIÓN Y EVALUACIÓN DE PROYECTOS,01,06:30-08:00,Ma-Jue,SEGUNDA,ORDINARIA,90,88,EN LINEA
2022-03-17,EEEI-I,Facultad de Ciencias Sociales,IDIOMAS,EVALUACIÓN Y ELABORACIÓN DE EX. EN INGLÉS,01,17:00-18:30,Ma-Jue,SEGUNDA,ORDINARIA,21,17,EN LINEA
2022-03-17,STCB-H,Facultad de Informática y Ciencias Aplicadas,CIENCIAS APLICADAS AREA INDUSTRIAL Y MATEMATICAS,SEMINARIO TALLER DE COMPETENCIAS,07,17:00-18:30,Ma-Jue,SEGUNDA,ORDINARIA,64,51,EN LINEA
2022-03-17,DALA-D,Facultad de Derecho,DERECHO,DERECHO AMBIENTAL,01,17:00-18:30,Ma-Jue,SEGUNDA,ORDINARIA,43,42,EN LINEA
2022-03-17,TER1-T,Facultad de Informática y Ciencias Aplicadas,INFORMATICA,TECNOLOGÍA CERTIFICADA EN REDES I,02,09:30-11:00,Ma-Jue,SEGUNDA,ORDINARIA,22,21,EN LINEA
2022-03-17,PSIC-H,Facultad de Ciencias Sociales,PSICOLOGIA,PSICOLOGÍA CLÍNICA,01,17:00-18:30,Ma-Jue,SEGUNDA,ORDINARIA,78,61,EN LINEA
2022-03-17,SICA-I,Facultad de Informática y Ciencias Aplicadas,CIENCIAS APLICADAS AREA INDUSTRIAL Y MATEMATICAS,SISTEMA DE CONTROL ADMINISTRATIVO,01,06:30-08:00,Ma-Jue,SEGUNDA,ORDINARIA,41,38,EN LINEA
2022-03-17,DEL2-D,Facultad de Derecho,DERECHO,DERECHO LABORAL II,02,17:00-18:30,Ma-Jue,SEGUNDA,ORDINARIA,58,49,EN LINEA
2022-03-17,OCOM-I,Facultad de Informática y Ciencias Aplicadas,INFORMATICA,ORGANIZACIÓN DE LAS COMPUTADORAS,03,17:00-18:30,Ma-Jue,SEGUNDA,ORDINARIA,77,75,EN LINEA
2022-03-17,STCB-H,Facultad de Informática y Ciencias Aplicadas,CIENCIAS APLICADAS AREA INDUSTRIAL Y MATEMATICAS,SEMINARIO TALLER DE COMPETENCIAS,09,09:45-11:15,Ma-Jue,SEGUNDA,ORDINARIA,43,40,PRESENCIAL
2022-03-17,TPR2-N,Facultad de Informática y Ciencias Aplicadas,INFORMATICA,TÉCNICAS DE PROGRAMACIÓN II,01,06:30-08:00,Ma-Jue,SEGUNDA,ORDINARIA,22,22,EN LINEA
2022-03-17,FIS1-I,Facultad de Informática y Ciencias Aplicadas,CIENCIAS APLICADAS AREA INDUSTRIAL Y MATEMATICAS,FÍSICA I,01,06:30-08:00,Ma-Jue,SEGUNDA,ORDINARIA,118,109,EN LINEA
2022-03-17,PETV-C,Facultad de Ciencias Sociales,COMUNICACIONES,PERIODISMO TELEVISIVO,01,17:00-18:30,Ma-Jue,SEGUNDA,ORDINARIA,3,3,EN LINEA
